limit_bal,sex,education,marriage,age,pay_amt6,default_payment_next_month
90000,2,2,2,29,3000,0
230000,2,1,1,35,6000,0
470000,2,2,1,27,5001,1
90000,2,2,2,25,3100,0
30000,1,2,1,43,0,0
100000,2,1,2,28,3000,0
30000,1,1,2,41,1250,0
380000,1,3,1,53,0,0
20000,1,5,2,22,0,0
350000,1,1,2,41,0,0
300000,2,2,2,35,15000,0
140000,1,1,1,40,4767,0
300000,2,2,2,35,15000,0
210000,2,2,2,33,3000,0
700000,2,1,1,39,17785,0
110000,2,1,1,48,0,0
360000,2,2,2,39,9004,0
320000,2,2,2,30,2500,0
130000,1,2,1,31,780,0
60000,2,2,2,26,3000,0
50000,2,2,2,22,1000,0
100000,2,2,1,30,3200,0
210000,2,1,2,32,3000,0
220000,1,1,2,43,0,0
50000,1,2,2,32,1590,0
50000,1,1,2,27,0,0
30000,1,2,1,43,0,0
400000,2,2,2,41,6012,0
400000,2,2,1,29,23000,0
30000,1,2,2,25,0,1
110000,2,2,1,46,3500,0
270000,1,1,2,32,0,0
50000,2,3,1,51,0,1
30000,1,2,2,47,0,0
320000,1,2,1,37,5028,0
360000,1,1,1,51,0,0
180000,2,2,1,32,2000,0
260000,2,2,2,24,3000,0
230000,1,1,2,29,3000,0
100000,1,1,2,32,3200,0
230000,1,1,1,59,6945,1
130000,2,3,2,29,13899,0
210000,2,1,1,42,0,1
20000,2,3,1,25,0,0
80000,2,2,2,24,0,1
170000,2,1,2,31,398,1
240000,2,2,2,30,1883,0
60000,1,1,2,27,1000,1
170000,2,2,1,33,4500,0
320000,1,1,1,40,8000,0
170000,1,2,2,27,0,0
360000,1,3,1,55,0,0
110000,2,2,1,40,3800,0
260000,2,1,1,44,1104,1
30000,2,3,2,53,7305,1
110000,2,2,2,32,3000,0
80000,2,1,1,28,276,1
160000,2,2,2,32,2303,0
70000,1,2,1,48,4590,1
50000,1,2,2,29,6318,0
210000,2,1,2,32,3000,0
110000,2,3,0,31,8954,0
360000,2,2,2,39,9004,0
50000,2,3,1,49,0,0
20000,2,2,1,43,1000,0
130000,2,2,1,33,4000,0
80000,2,2,2,24,2500,0
160000,1,1,2,30,50000,0
110000,2,1,2,29,2500,0
200000,1,1,2,30,1000,0
20000,1,2,2,25,0,1
250000,2,2,1,75,1184,0
140000,2,3,1,30,5200,0
140000,1,1,2,32,0,0
170000,2,1,2,31,398,1
140000,2,3,1,46,5000,0
240000,2,2,2,26,500,0
80000,2,3,1,57,100,0
50000,2,3,2,22,904,1
470000,1,2,2,27,10367,0
50000,1,1,2,26,1000,1
190000,1,2,1,31,3517,0
150000,2,2,1,39,2000,0
50000,2,1,1,25,704,0
240000,2,2,2,30,1883,0
470000,2,2,1,27,5001,1
70000,1,2,1,39,0,0
50000,2,2,2,26,3003,0
400000,2,2,2,41,6012,0
190000,1,2,2,40,7000,1
200000,2,1,2,34,0,0
190000,1,2,2,34,2769,1
170000,2,2,2,28,0,0
190000,2,1,2,26,1400,0
150000,2,3,2,28,3050,0
500000,2,1,1,45,0,0
160000,1,2,2,33,4500,0
20000,1,2,1,33,458,0
110000,2,2,3,45,2000,0
20000,2,2,2,24,1327,0
30000,2,2,1,42,2000,0
330000,1,1,2,25,2566,0
70000,1,3,1,32,5500,0
360000,2,2,1,48,4100,0
30000,1,1,2,28,0,0
100000,1,3,2,32,2015,0
30000,1,1,2,24,1800,0
360000,2,1,1,45,390,1
140000,2,2,1,39,3000,0
360000,1,3,1,55,0,0
50000,2,1,2,26,316,0
90000,2,2,1,40,0,0
230000,1,1,1,59,6945,1
50000,2,2,1,31,1047,1
30000,1,2,2,30,1000,0
150000,2,1,3,30,2050,0
280000,1,1,1,41,4437,0
240000,2,2,1,37,0,1
80000,2,1,1,28,276,1
120000,1,2,2,26,5000,0
300000,1,1,1,40,0,0
40000,1,2,2,23,0,0
140000,1,1,1,45,1495,0
60000,2,1,2,28,0,0
200000,2,2,1,32,1395,0
160000,1,1,2,30,50000,0
330000,1,1,2,25,2566,0
400000,2,1,2,40,7700,0
210000,2,1,1,42,0,1
80000,1,1,2,35,2418,0
60000,2,2,1,34,1291,1
170000,1,1,1,53,361,0
180000,2,2,2,28,2000,0
230000,2,1,1,35,0,0
450000,2,3,1,36,3238,0
30000,2,2,2,24,0,0
190000,1,2,2,34,2769,1
140000,2,2,1,48,1347,0
170000,1,2,1,42,0,0
50000,2,3,1,40,1000,0
80000,2,2,2,24,2200,0
490000,2,2,1,30,6000,0
50000,2,1,2,24,1400,0
150000,2,2,1,39,2000,0
160000,2,1,2,28,10000,0
50000,1,1,2,25,0,1
70000,1,1,2,27,0,0
110000,1,2,2,29,2000,1
50000,2,1,2,52,0,0
140000,1,1,2,32,0,0
110000,2,2,1,55,1000,0
240000,2,2,1,46,1000,0
80000,2,2,2,22,2000,0
40000,2,2,2,23,0,0
70000,1,3,1,32,5500,0
100000,2,3,1,35,0,0
240000,2,2,1,37,0,1
390000,2,1,2,45,3,0
380000,2,1,2,30,5000,0
80000,2,2,2,27,2600,0
210000,1,1,2,30,10000,0
190000,2,1,2,26,1400,0
120000,2,2,2,25,4400,0
50000,2,1,2,24,0,1
80000,2,2,1,36,2198,0
180000,2,2,1,32,2000,1
210000,2,2,2,30,4000,0
90000,2,1,2,23,4000,0
50000,1,3,1,33,697,0
50000,2,2,2,52,900,1
230000,2,1,2,35,520,0
170000,1,1,1,53,361,0
30000,2,2,1,35,2000,0
20000,1,1,2,27,376,0
500000,2,2,2,43,1572,0
200000,1,1,1,52,396,0
20000,2,2,2,24,1327,0
60000,2,2,2,29,0,0
30000,2,1,2,40,60,0
140000,1,1,2,32,0,0
280000,1,2,1,40,6737,0
100000,1,1,2,35,47970,0
30000,2,2,1,31,0,0
280000,1,2,1,42,5600,0
360000,2,2,1,37,4268,0
140000,2,1,2,27,5600,0
110000,2,2,2,26,0,0
300000,2,1,2,30,746,0
130000,1,3,2,39,6000,0
360000,1,1,1,46,0,0
200000,2,3,2,47,6836,1
140000,2,2,2,24,0,0
70000,1,1,1,46,1800,0
180000,2,2,2,28,460,0
50000,1,2,2,30,2000,0
200000,2,2,1,32,10190,0
400000,1,1,2,37,3768,0
20000,1,1,2,24,1069,0
300000,1,1,1,40,0,0
30000,2,3,2,53,7305,1
400000,2,2,2,41,6012,0
50000,1,2,2,24,3008,0
230000,2,2,1,32,2800,1
210000,2,3,1,53,0,0
90000,2,1,2,24,0,0
180000,2,1,2,29,0,0
30000,1,6,1,53,0,0
210000,2,2,1,47,0,0
270000,2,1,1,40,0,0
80000,1,2,2,36,3000,0
100000,2,2,1,43,2111,0
200000,1,1,1,52,396,0
30000,1,2,2,28,0,0
400000,2,1,2,40,7700,0
300000,2,2,2,35,15000,0
120000,2,2,2,35,240,1
30000,2,2,2,22,0,1
200000,2,1,2,34,0,0
630000,2,2,2,41,0,0
220000,1,2,2,25,2000,0
20000,2,1,2,22,0,0
60000,2,2,2,22,617,0
250000,2,3,2,35,13407,0
280000,2,2,1,39,5000,1
320000,1,1,1,60,52466,1
110000,2,4,2,24,4000,0
190000,1,2,2,34,2769,1
230000,2,1,2,27,0,0
180000,2,2,2,35,0,0
150000,2,5,2,46,0,1
200000,2,1,1,35,0,0
20000,2,2,1,43,1000,0
180000,2,1,2,36,6915,0
320000,1,1,2,27,3031,0
280000,2,2,1,39,5000,1
20000,2,2,2,27,0,0
300000,2,2,2,31,4141,0
20000,1,2,2,25,0,1
70000,2,2,2,26,1820,1
50000,2,2,1,61,1039,0
300000,2,2,1,36,10780,1
50000,1,3,1,46,2000,0
300000,2,1,2,31,500,0
450000,2,1,1,40,1128,1
360000,2,1,2,32,38313,0
410000,2,2,2,27,5350,0
80000,2,2,2,34,0,0
150000,1,1,2,33,8399,0
400000,1,1,2,37,3768,0
360000,2,2,2,52,789,0
90000,2,1,2,25,0,0
90000,1,3,1,48,4086,0
400000,2,2,1,44,2800,0
20000,1,2,2,24,0,0
180000,2,2,1,32,2000,1
50000,2,2,1,37,400,1
20000,1,3,1,43,1700,0
20000,1,2,2,24,0,0
370000,1,1,2,50,4699,0
220000,1,1,2,24,0,0
80000,1,2,2,32,1500,0
170000,2,2,2,33,0,0
20000,1,1,2,29,330,0
420000,1,2,1,34,20000,0
500000,2,2,2,43,1572,0
50000,2,2,1,48,503,0
50000,1,1,2,32,0,0
180000,2,1,2,36,6915,0
50000,1,2,3,42,1132,1
50000,2,2,1,24,1000,0
50000,1,2,2,23,2400,0
60000,2,1,2,28,0,0
360000,2,2,2,25,126685,0
130000,2,3,2,49,0,1
160000,2,2,0,37,426,0
150000,2,2,2,27,2529,0
390000,2,3,2,35,9435,1
30000,1,6,1,53,0,0
280000,1,1,2,31,5000,0
30000,2,3,1,46,0,0
50000,1,2,2,36,1000,0
50000,1,1,2,26,0,0
10000,2,3,2,22,0,1
250000,2,1,1,49,0,0
140000,2,2,1,48,1347,0
20000,1,2,1,46,319,0
120000,2,2,2,25,4400,0
200000,1,2,1,38,0,1
20000,1,3,2,44,1500,0
210000,2,1,2,32,3000,0
50000,1,1,1,37,0,0
50000,1,1,2,26,1000,1
220000,1,1,2,43,0,0
160000,1,1,2,30,0,0
280000,2,2,1,44,15000,1
360000,1,2,1,35,0,0
380000,1,1,2,43,0,1
50000,1,3,1,47,1000,0
140000,2,2,2,29,2000,0
30000,2,2,1,36,1500,1
330000,2,1,1,31,0,0
260000,1,1,1,41,10000,0
400000,2,2,1,38,9085,0
230000,2,2,1,32,2800,1
230000,2,2,1,28,1000,1
50000,1,1,2,28,0,0
490000,2,2,1,30,6000,0
20000,1,2,1,33,458,0
120000,1,1,1,34,450,0
20000,2,2,1,32,616,1
50000,1,3,1,33,697,0
330000,1,3,1,46,8200,0
50000,2,2,2,52,900,1
230000,2,1,2,27,0,0
120000,1,3,1,33,0,1
110000,2,1,2,24,3000,0
100000,2,1,2,24,2033,0
30000,2,1,2,40,60,0
610000,2,1,2,31,2000,0
210000,1,2,2,43,3000,0
360000,2,2,2,39,9004,0
70000,1,1,2,27,0,0
60000,2,1,2,28,7000,0
50000,1,2,2,42,0,0
180000,2,1,2,24,0,0
70000,2,2,1,33,1651,1
50000,2,2,2,22,567,0
440000,2,1,2,36,0,0
320000,1,2,1,39,938,0
50000,2,2,2,22,0,1
260000,2,1,2,51,3640,0
230000,2,2,2,27,4641,1
100000,2,3,1,35,0,0
30000,1,3,1,58,1961,0
440000,2,1,2,35,5500,0
30000,1,3,1,58,1961,0
200000,2,2,1,58,185652,0
30000,1,2,2,34,512,0
410000,2,2,2,27,5350,0
20000,2,1,2,22,0,1
50000,1,2,1,27,0,0
30000,1,2,2,34,512,0
420000,2,2,2,31,2324,0
250000,2,1,1,49,0,0
130000,2,1,1,35,2090,0
630000,2,2,2,41,0,0
30000,2,2,2,26,1000,1
360000,2,1,1,45,390,1
180000,1,1,2,27,0,1
440000,2,1,2,29,6010,0
110000,2,1,2,27,2800,0
110000,2,1,2,24,3000,0
80000,1,2,2,36,3000,0
260000,2,2,1,35,25000,0
100000,2,2,2,27,0,0
360000,2,1,1,34,4230,0
110000,2,2,2,36,2200,0
90000,2,1,2,25,0,0
30000,2,3,2,53,7305,1
400000,2,2,1,44,2800,0
160000,2,1,1,38,1916,0
20000,2,2,2,21,0,0
110000,2,2,2,36,2200,0
50000,1,1,2,24,2130,0
200000,2,2,1,32,1395,0
160000,2,1,1,33,1145,0
80000,1,1,2,30,0,0
110000,2,4,2,24,4000,0
50000,1,2,1,26,2000,0
280000,2,2,1,39,5000,1
150000,2,5,2,46,0,1
20000,1,2,1,37,782,0
360000,2,1,2,26,2963,0
230000,2,2,2,27,4641,1
70000,2,2,2,26,1820,1
30000,2,1,2,27,0,0
220000,2,1,1,36,1039,0
50000,1,1,2,26,0,0
160000,2,2,2,27,2500,0
140000,2,1,2,28,4000,0
30000,1,2,1,48,2244,0
200000,1,1,1,39,0,0
330000,2,1,1,31,0,0
60000,1,3,1,38,0,0
50000,1,1,2,25,0,1
80000,2,2,1,32,3100,0
50000,1,2,2,27,1390,1
30000,2,2,1,31,0,0
100000,1,3,1,56,732,0
140000,1,1,2,31,2500,0
210000,2,3,1,37,0,0
30000,1,2,2,28,0,0
130000,2,1,1,33,0,1
80000,2,2,1,32,0,0
230000,1,2,2,58,0,0
100000,1,1,2,38,0,0
250000,2,1,1,34,3920,0
500000,2,2,1,54,51582,0
240000,1,1,2,47,0,1
200000,1,1,2,30,1000,0
210000,2,2,2,33,3000,0
270000,2,2,1,56,3900,0
150000,1,2,1,50,5000,0
50000,1,1,1,56,1017,1
100000,2,3,3,43,1000,0
200000,1,1,2,31,0,0
150000,2,3,1,34,0,0
220000,1,2,2,29,0,0
300000,2,3,1,29,0,0
150000,2,2,2,25,2880,0
20000,2,3,1,40,780,0
210000,2,1,1,38,9616,1
50000,2,3,1,47,0,0
170000,2,2,2,28,95,1
30000,1,2,1,43,1000,0
140000,2,2,2,31,0,0
40000,2,1,2,29,0,1
50000,1,3,2,23,997,0
10000,1,3,2,23,175,0
30000,1,2,2,32,1000,1
20000,2,2,2,22,1000,0
30000,1,3,1,58,1961,0
90000,2,2,1,35,2000,0
100000,2,2,2,25,1559,1
260000,2,1,2,51,3640,0
260000,2,1,1,44,1104,1
160000,1,1,2,30,50000,0
200000,1,1,2,28,10000,0
210000,2,1,2,32,3000,0
70000,1,1,2,27,0,0
110000,1,3,1,56,4976,0
230000,2,1,2,38,4900,0
210000,2,2,1,41,419,1
180000,2,2,1,34,5100,0
180000,1,2,2,29,0,0
20000,2,2,2,31,0,0
140000,1,2,2,26,5400,1
50000,2,2,2,29,2000,1
320000,2,1,1,41,3510,0
30000,2,2,1,25,1000,0
200000,1,1,1,34,744,0
60000,1,1,2,30,1000,0
200000,1,1,2,26,2994,0
30000,2,2,2,24,0,0
170000,2,2,1,33,4500,0
80000,2,3,1,49,7990,0
180000,2,1,1,53,0,0
360000,2,1,1,49,0,0
360000,1,2,2,38,105700,0
70000,1,2,1,48,4590,1
100000,2,1,2,28,3000,1
20000,2,3,2,49,1000,1
100000,1,3,1,56,732,0
200000,1,1,2,28,10000,0
290000,2,1,2,29,0,1
40000,2,3,1,43,1000,0
30000,2,2,2,25,0,0
180000,2,3,1,34,2000,0
60000,2,2,2,29,0,0
500000,1,1,1,58,768,0
50000,2,2,3,30,1600,1
20000,2,1,2,25,800,0
400000,2,1,2,40,7700,0
120000,2,2,1,39,0,1
280000,2,2,2,27,0,0
170000,2,2,1,37,5000,0
10000,2,2,1,31,322,0
50000,1,2,2,33,716,1
10000,2,3,2,22,0,1
50000,2,2,1,61,1039,0
170000,2,2,2,27,6200,0
50000,1,2,1,36,20011,0
260000,2,1,1,34,7725,0
100000,2,2,1,30,3200,0
200000,1,2,1,38,0,1
110000,2,2,2,26,0,0
510000,2,1,2,35,2115,0
100000,2,1,2,24,2033,0
500000,2,1,1,38,600,0
200000,2,1,2,31,1103,0
50000,2,2,2,23,0,0
260000,2,1,2,33,0,0
30000,2,2,1,38,1200,0
240000,2,1,1,42,0,0
170000,1,2,2,29,10000,0
110000,1,3,1,56,4976,0
210000,2,3,2,31,0,0
240000,2,2,1,37,0,1
60000,2,2,2,22,617,0
230000,1,2,2,58,0,0
110000,2,2,3,45,2000,0
270000,2,1,1,40,0,0
60000,1,3,1,49,2500,0
260000,2,1,2,30,6000,0
270000,1,2,2,37,2000,0
200000,1,1,2,31,5300,0
140000,2,1,2,26,7004,0
30000,1,1,2,41,1250,0
80000,2,2,1,32,3100,0
330000,1,1,2,25,2566,0
30000,2,2,1,36,1500,1
610000,2,1,2,31,2000,0
20000,1,1,2,27,0,0
400000,2,1,2,40,7700,0
80000,2,3,2,53,2000,0
500000,2,3,1,38,5391,0
230000,1,2,2,32,500,0
280000,2,2,1,39,4000,0
270000,2,1,2,28,15000,0
80000,2,2,1,32,0,0
60000,2,1,2,28,0,0
100000,1,2,1,27,50000,0
40000,1,1,2,27,2078,1
50000,1,2,2,23,1000,0
40000,1,1,2,27,2078,1
180000,2,1,1,53,0,0
230000,1,2,2,58,0,0
230000,2,1,1,32,0,0
280000,2,1,1,36,2000,0
80000,1,2,2,32,1500,0
30000,2,2,2,24,3000,0
170000,2,2,2,28,0,0
120000,1,2,2,26,5000,0
30000,2,2,1,42,2000,0
130000,2,3,2,49,0,1
150000,1,3,1,37,4221,1
230000,2,1,2,28,3000,0
230000,2,1,2,37,0,0
110000,2,2,3,45,2000,0
180000,2,2,2,28,2000,0
60000,1,1,2,30,1000,0
210000,2,1,1,46,19777,0
210000,2,3,2,31,0,0
20000,2,2,1,24,0,1
50000,1,1,2,29,0,1
100000,2,3,1,35,0,0
80000,2,2,2,34,0,0
50000,2,1,1,25,704,0
160000,2,1,2,26,0,1
300000,1,1,2,34,0,1
120000,1,1,2,32,0,1
180000,2,2,2,35,0,0
50000,1,2,1,38,2000,0
30000,1,1,1,27,0,1
120000,2,2,2,25,4400,0
140000,1,2,2,26,5400,1
360000,2,1,1,40,4700,1
240000,2,2,2,26,3520,0
150000,1,1,2,41,472,1
340000,1,2,1,55,77195,0
120000,2,2,1,29,2496,0
380000,1,1,2,30,0,1
50000,1,2,1,48,2500,0
240000,2,2,1,46,1000,0
80000,2,3,1,49,7990,0
20000,2,2,2,27,0,0
50000,2,2,2,29,2000,1
240000,2,2,1,37,0,1
20000,1,1,2,40,0,0
20000,1,2,2,25,0,1
150000,2,1,2,29,0,0
260000,2,3,1,53,459,0
250000,2,3,2,35,13407,0
60000,1,1,2,27,1000,1
30000,1,2,2,28,0,1
90000,2,2,2,34,0,0
50000,2,3,2,49,0,0
470000,2,3,3,33,3000,0
280000,2,1,1,36,2000,0
290000,2,1,2,37,0,0
490000,2,2,1,30,6000,0
50000,2,1,2,24,0,1
70000,1,1,2,51,5000,0
20000,2,3,1,40,780,0
400000,2,1,2,31,0,0
130000,2,2,1,33,4000,0
120000,1,2,2,26,5000,0
80000,2,2,2,22,2000,0
80000,2,2,2,40,2000,0
30000,1,2,2,25,0,1
30000,2,3,2,53,7305,1
20000,2,2,2,24,1327,0
240000,1,1,2,44,7000,1
360000,2,2,2,25,126685,0
110000,2,3,0,31,8954,0
50000,1,3,2,55,994,1
240000,1,1,2,41,924,0
80000,2,2,1,36,1035,0
